,creditability,age.in.years_woe,credit.amount_woe,credit.history_woe,duration.in.month_woe,foreign.worker_woe,housing_woe,installment.rate.in.percentage.of.disposable.income_woe,job_woe,number.of.existing.credits.at.this.bank_woe,number.of.people.being.liable.to.provide.maintenance.for_woe,other.debtors.or.guarantors_woe,other.installment.plans_woe,personal.status.and.sex_woe,present.employment.since_woe,present.residence.since_woe,property_woe,purpose_woe,savings.account.and.bonds_woe,status.of.existing.checking.account_woe,telephone_woe
13,good,-0.528844129,0.205852054,-0.088318617,0.346624608,0,0.194156014,0.190472769,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.032103245,0.112477983,-0.034191365,0.410062817,-0.271357844,-0.614203978,0.098637588
14,bad,0.31121257,0.205852054,0.733740578,-0.108688306,0,0.194156014,-0.157300289,0.078471615,0.134780612,-0.00281611,-0.027973852,0.121178625,0.30538165,0.298716667,-0.001152738,-0.034191365,-0.279920067,-0.271357844,-0.614203978,-0.064691321
15,good,-0.060465196,0.205852054,-0.088318617,0.346624608,0,-0.40444522,0.190472769,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.032103245,-0.001152738,-0.034191365,-0.279920067,-0.271357844,-0.614203978,-0.064691321
16,bad,-0.060465196,0.205852054,-0.088318617,-0.108688306,0,0.194156014,-0.157300289,0.078471615,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.032103245,-0.070150705,-0.034191365,0.410062817,-0.13955188,-0.614203978,-0.064691321
17,good,0.31121257,0.205852054,0.733740578,-0.108688306,0,0.194156014,-0.157300289,0.022780028,0.134780612,-0.00281611,-0.027973852,0.121178625,0.30538165,0.298716667,-0.001152738,-0.028573372,0.410062817,0.762140052,1.176263223,-0.064691321
18,good,-0.528844129,-0.773189888,-1.234070835,-0.108688306,0,0.194156014,0.190472769,0.022780028,0.134780612,-0.00281611,-0.027973852,-0.477550835,0.30538165,-0.431137463,0.054941118,-0.034191365,-0.279920067,0.762140052,-0.614203978,-0.064691321
19,bad,0.31121257,-1.802809305,-0.088318617,-0.108688306,0,-0.472604411,-0.157300289,-0.204412515,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,0.298716667,-0.070150705,-0.586082361,0.805625164,-0.271357844,-0.614203978,0.098637588
20,good,-0.060465196,0.205852054,-0.088318617,-0.108688306,0,0.194156014,0.064538521,0.022780028,-0.074877499,0.015408625,-0.027973852,0.121178625,0.30538165,0.298716667,-0.070150705,-0.034191365,0.410062817,0.762140052,1.176263223,0.098637588
21,good,0.31121257,0.205852054,0.733740578,0.346624608,0,0.194156014,-0.157300289,0.022780028,0.134780612,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.032103245,-0.001152738,-0.034191365,-0.279920067,-0.271357844,1.176263223,0.098637588
22,good,0.31121257,0.205852054,-0.088318617,1.312186389,0,-0.40444522,0.190472769,0.022780028,-0.074877499,0.015408625,-0.027973852,0.121178625,0.30538165,-0.032103245,0.054941118,0.461034959,0.410062817,0.762140052,-0.614203978,-0.064691321
23,good,0.31121257,0.205852054,0.733740578,0.346624608,0,-0.40444522,0.190472769,0.078471615,0.134780612,0.015408625,-0.027973852,0.121178625,0.30538165,-0.431137463,0.054941118,0.461034959,-0.279920067,-0.271357844,-0.614203978,-0.064691321
24,good,0.31121257,0.205852054,0.733740578,0.346624608,0,0.194156014,0.064538521,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.431137463,-0.001152738,-0.028573372,0.805625164,-0.13955188,-0.614203978,-0.064691321
25,good,-0.060465196,0.205852054,0.733740578,0.346624608,0,0.194156014,0.190472769,0.022780028,0.134780612,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.032103245,0.112477983,-0.034191365,-0.279920067,0.762140052,1.176263223,-0.064691321
26,good,0.31121257,0.205852054,-0.088318617,1.312186389,0,0.194156014,0.190472769,0.078471615,-0.074877499,-0.00281611,-0.027973852,-0.477550835,0.30538165,-0.032103245,-0.070150705,0.461034959,-0.279920067,-0.271357844,-0.614203978,0.098637588
27,good,0.31121257,0.205852054,-1.234070835,1.312186389,0,0.194156014,-0.157300289,0.078471615,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,0.298716667,-0.001152738,-0.034191365,0.410062817,-0.271357844,1.176263223,-0.064691321
28,good,0.31121257,0.205852054,-1.234070835,0.346624608,0,-0.40444522,0.064538521,0.022780028,0.134780612,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.032103245,0.054941118,0.461034959,0.410062817,0.762140052,0.405465108,-0.064691321
29,good,-0.060465196,0.205852054,-0.088318617,1.312186389,0,0.194156014,0.064538521,0.022780028,-0.074877499,-0.00281611,0.587786665,0.121178625,0.30538165,-0.032103245,-0.070150705,0.461034959,0.410062817,-0.271357844,-0.614203978,-0.064691321
30,bad,0.31121257,-0.354821375,-0.085157808,-1.134979933,0,0.194156014,0.064538521,0.022780028,0.134780612,-0.00281611,-0.027973852,0.121178625,0.30538165,0.298716667,-0.001152738,-0.586082361,-0.279920067,-0.271357844,-0.614203978,0.098637588
31,good,0.31121257,0.205852054,-0.088318617,-0.108688306,0,0.194156014,0.064538521,0.022780028,-0.074877499,-0.00281611,-0.027973852,-0.477550835,0.30538165,-0.431137463,0.054941118,0.461034959,-0.279920067,0.762140052,-0.614203978,0.098637588
32,good,-0.060465196,-0.354821375,-0.088318617,-0.108688306,0,0.194156014,0.190472769,0.022780028,-0.074877499,-0.00281611,-0.027973852,-0.477550835,0.30538165,-0.032103245,-0.070150705,-0.034191365,-0.279920067,-0.271357844,-0.614203978,-0.064691321
33,good,-0.060465196,-0.354821375,-0.088318617,-0.108688306,0,0.194156014,0.190472769,0.022780028,0.134780612,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.032103245,-0.070150705,-0.034191365,-0.279920067,-0.13955188,-0.614203978,0.098637588
34,good,0.31121257,0.205852054,0.733740578,0.346624608,0,-0.40444522,-0.157300289,0.078471615,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,0.298716667,-0.001152738,-0.586082361,-0.279920067,0.762140052,1.176263223,-0.064691321
35,good,-0.060465196,0.205852054,-0.088318617,0.346624608,0,0.194156014,-0.157300289,-0.204412515,-0.074877499,-0.00281611,-0.027973852,-0.477550835,0.30538165,-0.431137463,0.112477983,-0.028573372,-0.279920067,-0.271357844,0.405465108,0.098637588
36,bad,-0.528844129,-0.354821375,0.733740578,-1.134979933,0,0.194156014,-0.157300289,0.078471615,0.134780612,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.431137463,-0.070150705,-0.028573372,0.410062817,-0.271357844,-0.614203978,-0.064691321
37,good,-0.060465196,-0.354821375,0.733740578,-1.134979933,0,-0.472604411,0.190472769,0.022780028,-0.074877499,-0.00281611,-0.027973852,-0.477550835,0.30538165,-0.032103245,0.054941118,-0.586082361,-0.279920067,-0.271357844,1.176263223,0.098637588
38,bad,0.31121257,0.205852054,-0.088318617,-0.108688306,0,0.194156014,-0.157300289,0.022780028,-0.074877499,-0.00281611,-0.027973852,-0.477550835,0.30538165,-0.032103245,-0.070150705,0.461034959,0.410062817,-0.271357844,0.405465108,-0.064691321
39,good,0.31121257,0.205852054,-0.088318617,0.346624608,0,0.194156014,0.190472769,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.032103245,-0.070150705,-0.034191365,-0.279920067,-0.271357844,0.405465108,0.098637588
40,good,-0.528844129,0.205852054,-0.088318617,0.346624608,0,0.194156014,-0.157300289,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.032103245,0.054941118,0.461034959,0.410062817,-0.271357844,-0.614203978,-0.064691321
41,good,-0.060465196,0.205852054,-0.088318617,-0.108688306,0,0.194156014,-0.157300289,-0.204412515,-0.074877499,-0.00281611,-0.027973852,-0.477550835,0.30538165,0.298716667,-0.070150705,-0.034191365,0.410062817,0.762140052,1.176263223,-0.064691321
42,good,-0.060465196,0.205852054,-0.088318617,0.346624608,0,0.194156014,0.064538521,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.032103245,0.112477983,-0.034191365,0.410062817,0.762140052,-0.614203978,0.098637588
43,good,0.31121257,-0.354821375,-0.085157808,-0.108688306,0,0.194156014,0.190472769,0.078471615,-0.074877499,0.015408625,-0.027973852,0.121178625,0.30538165,-0.032103245,-0.001152738,0.461034959,-0.279920067,-0.271357844,-0.614203978,0.098637588
44,good,-0.528844129,-0.354821375,0.733740578,-0.108688306,0,-0.40444522,0.190472769,0.022780028,0.134780612,-0.00281611,-0.027973852,0.121178625,0.30538165,0.298716667,-0.001152738,-0.034191365,0.805625164,-0.13955188,-0.614203978,-0.064691321
45,bad,0.31121257,-0.354821375,0.733740578,-1.134979933,0,-0.472604411,-0.157300289,0.078471615,0.134780612,-0.00281611,-0.027973852,-0.477550835,0.30538165,0.298716667,-0.001152738,-0.586082361,0.805625164,-0.271357844,-0.614203978,-0.064691321
46,good,0.31121257,0.205852054,0.733740578,0.346624608,0,0.194156014,-0.157300289,-0.204412515,0.134780612,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.431137463,-0.001152738,-0.034191365,-0.279920067,-0.271357844,1.176263223,-0.064691321
47,good,0.31121257,0.205852054,-0.088318617,-0.524524468,0,0.194156014,-0.157300289,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,0.298716667,-0.001152738,-0.034191365,0.410062817,0.762140052,1.176263223,-0.064691321
48,good,-0.528844129,0.205852054,-0.088318617,1.312186389,0,-0.40444522,0.190472769,0.078471615,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.431137463,-0.070150705,-0.028573372,0.805625164,0.762140052,-0.614203978,0.098637588
49,good,0.31121257,-0.354821375,0.733740578,0.346624608,0,0.194156014,0.190472769,0.078471615,0.134780612,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.032103245,-0.001152738,-0.028573372,-0.279920067,-0.271357844,1.176263223,-0.064691321
50,good,-0.060465196,0.205852054,-0.088318617,0.346624608,0,0.194156014,-0.157300289,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.30538165,-0.032103245,-0.070150705,0.461034959,0.410062817,-0.13955188,1.176263223,-0.064691321
51,good,-0.060465196,0.205852054,-0.085157808,-0.108688306,0,0.194156014,-0.157300289,0.078471615,-0.074877499,-0.00281611,-0.027973852,-0.477550835,0.062228471,-0.431137463,-0.070150705,-0.028573372,-0.279920067,0.762140052,-0.614203978,-0.064691321
52,good,-0.060465196,-0.354821375,-0.085157808,-0.108688306,0,0.194156014,0.190472769,-0.204412515,0.134780612,-0.00281611,-0.027973852,0.121178625,0.062228471,0.298716667,-0.070150705,-0.034191365,0.805625164,-0.271357844,-0.614203978,0.098637588
53,good,-0.528844129,0.205852054,-0.088318617,0.346624608,0,0.194156014,0.064538521,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,-0.032103245,-0.070150705,-0.034191365,0.410062817,-0.271357844,1.176263223,-0.064691321
54,good,-0.060465196,0.205852054,-0.088318617,-0.108688306,0,0.194156014,0.190472769,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,-0.032103245,0.112477983,-0.028573372,0.805625164,0.762140052,1.176263223,0.098637588
55,bad,0.31121257,0.205852054,-0.085157808,-0.524524468,0,-0.472604411,-0.157300289,0.022780028,0.134780612,-0.00281611,-0.027973852,-0.477550835,0.062228471,0.298716667,-0.001152738,-0.586082361,-0.279920067,-0.271357844,-0.614203978,0.098637588
56,good,-0.060465196,0.205852054,-1.234070835,1.312186389,0,0.194156014,0.190472769,0.078471615,-0.074877499,0.015408625,0.587786665,-0.477550835,0.062228471,-0.032103245,-0.070150705,0.461034959,-0.279920067,0.762140052,1.176263223,-0.064691321
57,bad,0.31121257,-0.354821375,-0.088318617,0.346624608,0,0.194156014,0.190472769,-0.204412515,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,-0.431137463,0.112477983,-0.586082361,0.410062817,0.762140052,-0.614203978,0.098637588
58,good,-0.060465196,-0.773189888,0.733740578,-0.524524468,0,0.194156014,0.190472769,0.022780028,0.134780612,-0.00281611,-0.027973852,-0.477550835,0.062228471,-0.032103245,-0.070150705,-0.034191365,0.410062817,-0.271357844,1.176263223,-0.064691321
59,good,-0.528844129,0.205852054,-0.088318617,-0.108688306,0,0.194156014,0.064538521,-0.204412515,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,0.298716667,-0.070150705,-0.034191365,-0.279920067,-0.271357844,0.405465108,-0.064691321
60,bad,-0.528844129,-0.354821375,0.733740578,-0.524524468,0,-0.40444522,-0.157300289,0.078471615,0.134780612,-0.00281611,-0.027973852,0.121178625,0.062228471,-0.431137463,-0.001152738,-0.586082361,-0.279920067,-0.271357844,-0.614203978,0.098637588
61,good,-0.060465196,0.205852054,-0.088318617,0.346624608,0,0.194156014,0.190472769,0.022780028,-0.074877499,-0.00281611,-0.027973852,-0.477550835,0.062228471,-0.032103245,0.112477983,0.461034959,-0.279920067,-0.271357844,-0.614203978,0.098637588
62,good,0.31121257,0.205852054,0.733740578,0.346624608,0,0.194156014,-0.157300289,0.022780028,0.134780612,-0.00281611,0.587786665,0.121178625,0.062228471,0.298716667,-0.001152738,0.461034959,0.410062817,0.762140052,-0.614203978,0.098637588
63,bad,0.31121257,0.205852054,-1.234070835,-0.524524468,0,-0.472604411,-0.157300289,-0.204412515,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,0.298716667,-0.001152738,-0.586082361,-0.279920067,-0.271357844,-0.614203978,0.098637588
64,bad,-0.528844129,-1.802809305,-1.234070835,-1.134979933,0,0.194156014,0.190472769,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,-0.032103245,-0.070150705,-0.034191365,-0.279920067,-0.271357844,-0.614203978,0.098637588
65,good,-0.060465196,0.205852054,-0.088318617,-0.108688306,0,0.194156014,-0.157300289,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,-0.431137463,-0.001152738,-0.028573372,0.410062817,-0.271357844,1.176263223,0.098637588
66,good,0.31121257,-0.354821375,-0.088318617,-0.108688306,0,0.194156014,-0.157300289,0.022780028,0.134780612,0.015408625,-0.027973852,0.121178625,0.062228471,0.298716667,-0.001152738,-0.028573372,-0.279920067,0.762140052,1.176263223,0.098637588
67,good,-0.060465196,0.205852054,-0.088318617,0.346624608,0,0.194156014,0.190472769,0.022780028,-0.074877499,-0.00281611,-0.027973852,-0.477550835,0.062228471,-0.431137463,-0.070150705,-0.034191365,0.410062817,-0.271357844,1.176263223,-0.064691321
68,good,-0.528844129,0.205852054,-0.088318617,0.346624608,0,0.194156014,-0.157300289,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,-0.032103245,0.112477983,0.461034959,-0.279920067,0.762140052,-0.614203978,-0.064691321
69,bad,0.31121257,0.205852054,-0.088318617,-0.524524468,0,-0.472604411,-0.157300289,0.022780028,-0.074877499,-0.00281611,-0.027973852,-0.477550835,0.062228471,-0.032103245,-0.001152738,-0.586082361,-0.279920067,-0.271357844,1.176263223,0.098637588
70,good,-0.528844129,0.205852054,-0.088318617,-0.524524468,0,0.194156014,-0.157300289,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,-0.032103245,-0.001152738,-0.034191365,0.410062817,0.762140052,1.176263223,-0.064691321
71,good,-0.060465196,-0.773189888,-0.088318617,-0.524524468,0,0.194156014,0.190472769,0.022780028,-0.074877499,-0.00281611,-0.027973852,-0.477550835,0.062228471,-0.032103245,-0.070150705,-0.028573372,0.805625164,-0.271357844,1.176263223,-0.064691321
72,good,0.31121257,0.205852054,0.733740578,1.312186389,0,-0.40444522,-0.157300289,0.078471615,0.134780612,-0.00281611,-0.027973852,0.121178625,0.062228471,0.298716667,-0.070150705,-0.028573372,0.410062817,0.762140052,1.176263223,0.098637588
73,good,0.31121257,0.205852054,0.733740578,0.346624608,0,-0.472604411,0.064538521,-0.204412515,0.134780612,0.015408625,-0.027973852,-0.477550835,0.062228471,0.298716667,-0.001152738,-0.586082361,-0.279920067,-0.271357844,-0.614203978,0.098637588
74,good,0.31121257,-0.354821375,0.733740578,-0.524524468,0,0.194156014,0.190472769,0.078471615,0.134780612,-0.00281611,-0.027973852,-0.477550835,0.062228471,0.298716667,0.112477983,0.461034959,-0.279920067,-0.271357844,-0.614203978,-0.064691321
75,bad,0.31121257,0.205852054,-0.088318617,-0.524524468,0,0.194156014,-0.157300289,-0.204412515,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,0.298716667,-0.001152738,-0.586082361,-0.279920067,0.762140052,-0.614203978,0.098637588
76,good,0.31121257,0.205852054,0.733740578,0.346624608,0,-0.472604411,-0.157300289,-0.204412515,0.134780612,-0.00281611,-0.027973852,0.121178625,0.062228471,0.298716667,-0.001152738,-0.586082361,0.805625164,-0.271357844,-0.614203978,-0.064691321
77,bad,-0.060465196,0.205852054,-0.088318617,-0.524524468,0,0.194156014,-0.157300289,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,-0.431137463,0.054941118,-0.034191365,0.410062817,-0.271357844,-0.614203978,-0.064691321
78,good,0.31121257,-0.354821375,-0.085157808,0.346624608,0,0.194156014,0.190472769,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,0.298716667,-0.001152738,-0.028573372,0.410062817,-0.271357844,-0.614203978,-0.064691321
79,good,0.31121257,-0.773189888,-1.234070835,-1.134979933,0,0.194156014,0.190472769,0.078471615,-0.074877499,0.015408625,-0.027973852,0.121178625,0.062228471,-0.032103245,-0.070150705,-0.028573372,0.805625164,0.762140052,1.176263223,-0.064691321
80,good,-0.528844129,0.205852054,-0.088318617,-0.108688306,0,0.194156014,0.190472769,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,-0.431137463,0.112477983,-0.028573372,-0.279920067,-0.271357844,-0.614203978,-0.064691321
81,bad,0.31121257,-0.354821375,-0.088318617,-0.108688306,0,0.194156014,0.190472769,0.022780028,0.134780612,-0.00281611,-0.027973852,0.121178625,0.062228471,-0.431137463,0.112477983,-0.034191365,0.410062817,0.762140052,1.176263223,0.098637588
82,good,0.31121257,0.205852054,-0.088318617,0.346624608,0,0.194156014,-0.157300289,0.022780028,-0.074877499,-0.00281611,-0.027973852,-0.477550835,0.062228471,0.298716667,0.054941118,-0.028573372,0.410062817,0.762140052,1.176263223,0.098637588
83,good,-0.528844129,0.205852054,-0.088318617,-0.108688306,0,-0.40444522,0.064538521,0.078471615,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,-0.032103245,-0.001152738,-0.028573372,-0.279920067,-0.13955188,1.176263223,-0.064691321
84,good,0.31121257,0.205852054,-0.088318617,-0.108688306,0,0.194156014,-0.157300289,0.078471615,-0.074877499,-0.00281611,0.587786665,0.121178625,0.062228471,0.298716667,-0.001152738,0.461034959,-0.279920067,-0.271357844,-0.614203978,0.098637588
85,good,0.31121257,0.205852054,-0.088318617,0.346624608,0,0.194156014,0.064538521,0.078471615,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,0.298716667,-0.001152738,0.461034959,0.410062817,-0.271357844,-0.614203978,-0.064691321
86,good,-0.060465196,0.205852054,0.733740578,0.346624608,0,0.194156014,-0.157300289,-0.204412515,0.134780612,-0.00281611,0.587786665,0.121178625,0.062228471,-0.032103245,-0.070150705,0.461034959,-0.279920067,-0.271357844,1.176263223,0.098637588
87,good,-0.060465196,0.205852054,0.733740578,-0.108688306,0,0.194156014,-0.157300289,0.022780028,0.134780612,-0.00281611,-0.027973852,0.121178625,0.062228471,-0.431137463,0.112477983,-0.028573372,-0.279920067,-0.271357844,-0.614203978,-0.064691321
88,bad,0.31121257,-1.802809305,-0.088318617,-0.524524468,0,-0.472604411,0.190472769,0.022780028,-0.074877499,0.015408625,-0.027973852,0.121178625,0.062228471,-0.032103245,-0.001152738,-0.586082361,-0.279920067,-0.13955188,-0.614203978,0.098637588
89,good,-0.060465196,0.205852054,-0.088318617,-0.108688306,0,0.194156014,-0.157300289,-0.204412515,-0.074877499,0.015408625,-0.027973852,0.121178625,0.062228471,0.298716667,0.054941118,-0.034191365,-0.279920067,-0.13955188,-0.614203978,0.098637588
90,bad,-0.060465196,0.205852054,-1.234070835,0.346624608,0,0.194156014,-0.157300289,0.022780028,0.134780612,-0.00281611,-0.027973852,0.121178625,0.062228471,0.298716667,0.054941118,0.461034959,-0.279920067,-0.271357844,-0.614203978,-0.064691321
91,good,0.31121257,0.205852054,0.733740578,0.346624608,0,0.194156014,-0.157300289,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,0.298716667,-0.001152738,0.461034959,0.410062817,-0.271357844,1.176263223,-0.064691321
92,good,0.31121257,0.205852054,0.733740578,0.346624608,0,0.194156014,-0.157300289,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,0.298716667,0.054941118,0.461034959,0.805625164,-0.271357844,-0.614203978,-0.064691321
93,bad,-0.060465196,0.205852054,0.733740578,0.346624608,0,0.194156014,-0.157300289,0.078471615,-0.074877499,0.015408625,-0.027973852,-0.477550835,0.062228471,0.298716667,0.054941118,-0.028573372,0.410062817,0.762140052,1.176263223,-0.064691321
94,good,-0.528844129,0.205852054,0.733740578,-0.108688306,0,-0.40444522,-0.157300289,0.022780028,0.134780612,-0.00281611,-0.027973852,0.121178625,0.062228471,0.298716667,-0.001152738,-0.586082361,-0.279920067,0.762140052,0.405465108,-0.064691321
95,good,0.31121257,0.205852054,-0.088318617,0.346624608,0,0.194156014,-0.157300289,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,0.298716667,-0.001152738,0.461034959,-0.279920067,0.762140052,-0.614203978,0.098637588
96,bad,0.31121257,-1.802809305,-1.234070835,-1.134979933,0,-0.40444522,0.064538521,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,-0.431137463,-0.001152738,-0.586082361,-0.279920067,-0.271357844,-0.614203978,0.098637588
97,good,0.31121257,0.205852054,0.733740578,0.346624608,0,0.194156014,-0.157300289,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,0.298716667,-0.070150705,-0.034191365,-0.279920067,0.762140052,1.176263223,-0.064691321
98,good,-0.060465196,0.205852054,-0.088318617,-0.108688306,0,0.194156014,-0.157300289,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,-0.032103245,-0.001152738,-0.034191365,-0.279920067,-0.13955188,-0.614203978,-0.064691321
99,good,0.31121257,0.205852054,0.733740578,-0.524524468,0,0.194156014,-0.157300289,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,0.298716667,-0.001152738,0.461034959,0.410062817,-0.271357844,-0.614203978,-0.064691321
100,good,0.31121257,-0.354821375,-0.085157808,-0.108688306,0,-0.40444522,0.064538521,-0.204412515,0.134780612,0.015408625,-0.027973852,-0.477550835,0.062228471,0.298716667,-0.001152738,-0.028573372,0.805625164,0.762140052,-0.614203978,0.098637588
101,good,0.31121257,0.205852054,-0.088318617,-0.108688306,0,-0.40444522,-0.157300289,0.078471615,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,0.298716667,-0.001152738,0.461034959,-0.279920067,-0.13955188,1.176263223,-0.064691321
102,good,-0.528844129,0.205852054,-0.088318617,-0.524524468,0,-0.40444522,-0.157300289,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,0.298716667,-0.001152738,-0.034191365,0.410062817,-0.271357844,-0.614203978,-0.064691321
103,good,-0.528844129,0.205852054,-0.085157808,1.312186389,0,0.194156014,0.064538521,0.022780028,-0.074877499,-0.00281611,-0.027973852,0.121178625,0.062228471,-0.032103245,-0.070150705,0.461034959,0.410062817,-0.271357844,1.176263223,-0.064691321
